payment_id,subscription_id,invoice_id,name,email,phone,amount,failure_code,retry_count,consent_status,current_state,timestamp
pay_DCCRnGEY59YVkQ,sub_fsGQONvf08WpRt,inv_oZmjbcpEN2XeDA,Aditya Menon,aditya.menon99@example.com,+918649174966,1999,CARD_EXPIRED,0,True,EXHAUSTED,2026-08-13 12:09:00
pay_PSa5W3X4gXBolZ,sub_9SHDdJp62hDiZD,inv_QHJMu8W5CN0U5G,Aparna Pandey,aparna.pandey67@example.com,+917683577992,4999,CHECKOUT_ABANDONED,0,True,EXHAUSTED,2026-08-16 16:16:00
pay_Wp1OrXXHFOprCe,sub_Tsprvu5IfijoyS,inv_jTneAAvIDAdn1A,Gaurav Saxena,gaurav.saxena99@example.com,+917083889094,2999,BANK_DECLINE_RISK,1,True,EXHAUSTED,2026-08-13 16:00:00
pay_8wtWy2591AIVVI,sub_ZM5oForBFbyvQR,inv_ZzUk1D6iNIb6zL,Priya Patel,priya.patel92@example.com,+918840877826,999,BANK_DECLINE_RISK,1,True,EXHAUSTED,2026-08-15 11:03:00
pay_qyunDuvW4yrW81,sub_Aq1fEbVId8woPe,inv_X9PcWb8pm1bNjp,Rohan Pillai,rohan.pillai95@example.com,+917491298929,2999,BANK_DECLINE_RISK,1,True,EXHAUSTED,2026-08-07 16:44:00
pay_qXxkMM9VThX0k9,sub_tgLb7tKR69yz8T,inv_meLS1OpgSXt2RM,Meera Saxena,meera.saxena15@example.com,+918491228808,2999,NETWORK_TIMEOUT,1,True,EXHAUSTED,2026-08-14 19:23:00
pay_eGPva2A0FgB9xO,sub_51DTjBlUH9PrNZ,inv_6IXEDB0ULru2p1,Anjali Kumar,anjali.kumar67@example.com,+918047385483,1999,MANDATE_REVOKED,0,True,EXHAUSTED,2026-08-19 18:42:00
pay_yvbF2ulFnwZqvr,sub_4MS4rJaH8mfpUA,inv_FJWpSEPTFCYbfs,Manish Choudhury,manish.choudhury98@example.com,+918044987715,1499,INSUFFICIENT_FUNDS,0,True,EXHAUSTED,2026-08-22 18:23:00
pay_EJHwBVJvwSDrtq,sub_ohUmuhVI8WSlmn,inv_VErULWHMsg1mso,Ritu Joshi,ritu.joshi48@example.com,+917060766757,4999,CARD_EXPIRED,0,True,EXHAUSTED,2026-08-18 11:17:00
pay_cdJsS8iO3WFg3a,sub_KsEECvl9dq83Eh,inv_0ezFeKORdjjZK8,Swati Patel,swati.patel41@example.com,+917508745584,2999,CARD_EXPIRED,0,True,EXHAUSTED,2026-08-25 15:38:00
pay_MYNoXHyC6Ct3LB,sub_tKNdN9Vg8WnOnq,inv_QfkplJekaACSME,Vijay Verma,vijay.verma39@example.com,+918237401063,4999,INSUFFICIENT_FUNDS,0,True,EXHAUSTED,2026-08-10 20:55:00
pay_DeRo7qYYOLQZ7m,sub_BhIoPj6r0jedkY,inv_tMV0K6sChDStSz,Neha Mishra,neha.mishra79@example.com,+919120834317,1999,CHECKOUT_ABANDONED,0,True,EXHAUSTED,2026-08-03 18:02:00
pay_4BVuMqbfo9R13K,sub_L8bWR0rKcWWlEH,inv_PC6rlLBO0FfEwA,Kavita Reddy,kavita.reddy95@example.com,+917449253056,999,MANDATE_REVOKED,0,True,EXHAUSTED,2026-08-11 15:44:00
pay_FsQ8z0WJcDfuqu,sub_hXz3G0aQ3IDAdm,inv_HxNWFOCWdnrJi7,Vijay Sen,vijay.sen99@example.com,+919081821325,499,INVALID_VPA,0,True,EXHAUSTED,2026-08-01 19:38:00
pay_ZpTktJaJAfo16h,sub_D8hP1jF7TsGTrA,inv_1EEpDJjym6MGV4,Rohan Patel,rohan.patel45@example.com,+918782164134,1499,CHECKOUT_ABANDONED,0,True,EXHAUSTED,2026-08-26 17:17:00
pay_0asUt1LLQF3jCI,sub_EwvJWIyD7u3mSp,inv_Kyo2XAcuVET6Zy,Gaurav Bose,gaurav.bose93@example.com,+917653287375,1999,NETWORK_TIMEOUT,1,True,RECOVERED,2026-08-02 11:32:00
pay_9Lv3g32CgH6DaU,sub_jA3PjeEYqvNSzP,inv_f2v2R2Iy9uOT4W,Preeti Pandey,preeti.pandey14@example.com,+919651968205,499,CARD_EXPIRED,0,True,EXHAUSTED,2026-08-08 19:43:00
pay_6soVfBgWOT3gCk,sub_St5bcuYdswxBjp,inv_HAKRYlklfN3yNR,Divya Pillai,divya.pillai84@example.com,+917614685938,999,BANK_DECLINE_RISK,1,True,EXHAUSTED,2026-08-15 19:16:00
pay_DqQa5ZD5sRIkeC,sub_8wLtO9BSqD2tmy,inv_2EgpyKwKsSsb1Q,Nisha Kumar,nisha.kumar11@example.com,+919430646623,4999,MANDATE_REVOKED,0,True,EXHAUSTED,2026-08-25 20:03:00
pay_6MVF155sXZoMZw,sub_oOmNqRWUXQR1iO,inv_g5OPctYCcLxUif,Vijay Reddy,vijay.reddy63@example.com,+917754368373,999,INSUFFICIENT_FUNDS,0,True,EXHAUSTED,2026-08-05 21:34:00
pay_4xHG6r1kq608E9,sub_ZsV3vZhD9ejW9o,inv_3RURz92ZJxfYza,Sanjay Pandey,sanjay.pandey25@example.com,+918953291127,1499,MANDATE_REVOKED,0,True,EXHAUSTED,2026-08-22 20:43:00
pay_qLy0O8xgRoEbN4,sub_8Ju6NoPeO0D6St,inv_PAhic8ctFhgp4I,Rohan Choudhury,rohan.choudhury68@example.com,+918593482331,4999,CARD_EXPIRED,0,True,EXHAUSTED,2026-08-24 20:34:00
pay_ALVUj4APg1FNA8,sub_8rcSxnCC8p2xgR,inv_xI5Pwdzrm9h820,Jyoti Patel,jyoti.patel94@example.com,+917910987546,4999,INVALID_VPA,0,True,EXHAUSTED,2026-08-21 18:01:00
pay_dYvpiYKne1WJnL,sub_n03ovXjY5Mar2j,inv_iIqZlhQ3biawYY,Divya Saxena,divya.saxena51@example.com,+917067779246,999,INSUFFICIENT_FUNDS,0,True,EXHAUSTED,2026-08-09 09:08:00
pay_VAHhVeECXxGLgC,sub_Go8NcUY63QHtDP,inv_9bdE2zBRgFT6Ce,Anjali Reddy,anjali.reddy87@example.com,+917637088959,499,INSUFFICIENT_FUNDS,0,True,EXHAUSTED,2026-08-05 13:39:00
pay_OLJTuyMHsDGMBg,sub_YSh2PP4XJU3nBC,inv_4oAv0DzAUguBuQ,Sanjay Iyer,sanjay.iyer29@example.com,+919949873860,1999,CHECKOUT_ABANDONED,0,True,EXHAUSTED,2026-08-03 10:53:00
pay_ffBgVVxZiJdL9J,sub_JvQhAw3Q8WB36U,inv_d9sMtwgKGnjQEo,Suresh Iyer,suresh.iyer81@example.com,+918578662692,499,CHECKOUT_ABANDONED,0,True,EXHAUSTED,2026-08-25 13:36:00
pay_oZB2JX0NNRPJbM,sub_7Q1SrblrSWt6vw,inv_al3jKQzejVObfV,Pooja Choudhury,pooja.choudhury63@example.com,+918948393831,1499,CHECKOUT_ABANDONED,0,True,EXHAUSTED,2026-08-06 14:19:00
pay_UuX8KMf4djkWNd,sub_RfrCQBFMCArnWG,inv_hwBhsRRLFHQtco,Nisha Trivedi,nisha.trivedi17@example.com,+917033015788,999,MANDATE_REVOKED,0,True,EXHAUSTED,2026-08-10 12:49:00
pay_iWqsuhaFVBliyI,sub_ToGJ1QZwez3VcB,inv_bD6e3uKBKzTOAs,Meera Choudhury,meera.choudhury12@example.com,+918394868732,999,BANK_DECLINE_RISK,1,True,RECOVERED,2026-08-26 18:29:00
pay_1S6xfB2gpBLzHf,sub_z3tVvovXkeGOhH,inv_Gm5XwwU90P0jpg,Deepa Kumar,deepa.kumar35@example.com,+917745172634,2999,INVALID_VPA,0,True,EXHAUSTED,2026-08-05 21:48:00
pay_Pel8XOFDWKWLCR,sub_74KPONu3OujCeE,inv_COtYrLdwGetDCc,Sneha Iyer,sneha.iyer46@example.com,+917329557138,4999,NETWORK_TIMEOUT,1,True,RECOVERED,2026-08-03 18:38:00
pay_GyDLJ9YV5cC6ZK,sub_PmuMEGj9dCgZ51,inv_vTfGPlcpTCCHHN,Arjun Iyer,arjun.iyer57@example.com,+918215018687,1999,MANDATE_REVOKED,0,True,EXHAUSTED,2026-08-14 21:21:00
pay_RMdYOPvevgJRys,sub_qU2Q96M3jvfLQj,inv_6wt9PSQziMT8ft,Gaurav Banerjee,gaurav.banerjee52@example.com,+917548870021,4999,INSUFFICIENT_FUNDS,0,True,EXHAUSTED,2026-08-23 20:43:00
pay_6HfPQBGxbxtl8n,sub_v8XFmoijes2YgG,inv_XI1V4HcQv4XNiM,Gaurav Singh,gaurav.singh30@example.com,+917776727492,4999,CHECKOUT_ABANDONED,0,True,EXHAUSTED,2026-08-25 18:51:00
pay_5kUCcAxRUpCNsW,sub_VYCoIpt9ZYE51m,inv_xR8KCDXsXyGHA9,Arjun Gupta,arjun.gupta87@example.com,+917594417160,1499,MANDATE_REVOKED,0,True,EXHAUSTED,2026-08-02 19:30:00
pay_3xJ7gT2H2hsfWk,sub_rC5Gj1Bf86o0C4,inv_w7bAdzGxpyfxob,Rajesh Nair,rajesh.nair93@example.com,+918440061103,999,NETWORK_TIMEOUT,1,True,EXHAUSTED,2026-08-05 09:18:00
pay_61ES1iWTECNa5f,sub_bqn1jJ8UMHBhXs,inv_pthdpAOYNDeh15,Preeti Trivedi,preeti.trivedi78@example.com,+917070589284,4999,BANK_DECLINE_RISK,1,True,RECOVERED,2026-08-17 18:15:00
pay_TjsBaNwpKAlQQf,sub_Hxe9HIGYGJby3E,inv_cOyxqVbwYewpUQ,Suresh Saxena,suresh.saxena52@example.com,+917572989855,499,CHECKOUT_ABANDONED,0,True,EXHAUSTED,2026-08-12 17:21:00
pay_0Pl1XRDSEOlZie,sub_TX8DcsmcYm4cu7,inv_tGz0IEqcWPmsw3,Sneha Banerjee,sneha.banerjee52@example.com,+918173456409,499,CHECKOUT_ABANDONED,0,True,EXHAUSTED,2026-08-26 14:27:00
pay_4zVC59yvlFSFx7,sub_ZHrZfUBfBM0lIs,inv_ugfuQstCMTBkSC,Abhishek Sen,abhishek.sen15@example.com,+918514230707,2999,INVALID_VPA,0,True,EXHAUSTED,2026-08-14 13:40:00
pay_Y8deQOzxGZVRk8,sub_bj2MRYCciepXPx,inv_xy8KcMjRC8xxCW,Vikram Saxena,vikram.saxena27@example.com,+919274012889,1499,INSUFFICIENT_FUNDS,0,True,EXHAUSTED,2026-08-13 14:41:00
pay_rp9hbVlFHy6Jhq,sub_XqTCnNsS6Fmhi2,inv_eCl5TCfZR92uQw,Vikram Pandey,vikram.pandey79@example.com,+918247096480,1499,INSUFFICIENT_FUNDS,0,True,EXHAUSTED,2026-08-06 20:45:00
pay_7SOlYxGohmYipY,sub_FbxJKxDZJiN4fe,inv_tzTUEHAXA0Keiu,Vikram Sen,vikram.sen69@example.com,+919921045865,2999,BANK_DECLINE_RISK,1,True,EXHAUSTED,2026-08-12 11:56:00
pay_1XJOLlX9iBG63d,sub_1hHjtkku7Tow88,inv_H5s2fqmO9JriOt,Anjali Mishra,anjali.mishra92@example.com,+917724285673,2999,NETWORK_TIMEOUT,1,True,EXHAUSTED,2026-08-19 11:10:00
pay_QNU5Mv17Kc03bf,sub_c8PXKqPnXKANOb,inv_F4OIsP9tEpZZRz,Swati Sen,swati.sen19@example.com,+919957572769,499,INSUFFICIENT_FUNDS,0,True,EXHAUSTED,2026-08-06 16:26:00
pay_EDnvMju3TuU3wz,sub_iWxGJgupDhrCpj,inv_gds8y3NAp935k0,Rajesh Saxena,rajesh.saxena50@example.com,+917815331250,999,BANK_DECLINE_RISK,1,True,EXHAUSTED,2026-08-16 17:29:00
pay_F4tFbf8zGD9pnL,sub_wddsFM41PREsIa,inv_2gBi4qUxWzxczd,Aditya Iyer,aditya.iyer80@example.com,+918239534867,499,INVALID_VPA,0,True,EXHAUSTED,2026-08-13 17:28:00
pay_WJr0NRNhigzxYv,sub_J8xWjmMGzGccci,inv_TvZEHDjM5Giu7N,Rajesh Joshi,rajesh.joshi60@example.com,+919647849438,4999,MANDATE_REVOKED,0,True,EXHAUSTED,2026-08-10 18:21:00
pay_G1GIFTKtE0bxvR,sub_hALtY5U3SObMEq,inv_9PYXLKoUdLEkHO,Gaurav Singh,gaurav.singh97@example.com,+918040226318,499,NETWORK_TIMEOUT,1,True,RECOVERED,2026-08-19 20:07:00
pay_mbCuAjASnAGXN6,sub_E32VUdTiHnJuQE,inv_Hyu9lD6IvIwRX3,Sanjay Trivedi,sanjay.trivedi71@example.com,+917825768309,999,INSUFFICIENT_FUNDS,0,True,EXHAUSTED,2026-08-09 17:19:00
pay_o8tXsTnSTFuEwJ,sub_77YUrshKRIy5z0,inv_w9XZjscs9Tfw7C,Sanjay Desai,sanjay.desai71@example.com,+917919066362,999,CARD_EXPIRED,0,True,EXHAUSTED,2026-08-18 13:59:00
pay_JSrigNVLppdQ5H,sub_oOodgAvTEgRXia,inv_9J7kAP744EEPmW,Vijay Reddy,vijay.reddy46@example.com,+919774110439,499,BANK_DECLINE_RISK,1,True,EXHAUSTED,2026-08-25 10:41:00
pay_KoIVU27c66lA41,sub_l76c1zYFl7V937,inv_s4catKMg7vsDPI,Preeti Singh,preeti.singh74@example.com,+919010133918,1499,BANK_DECLINE_RISK,1,True,EXHAUSTED,2026-08-07 21:07:00
pay_vkUDPqTlaVvYsK,sub_RWmlN2O5z0BGuf,inv_zQgliEu7paqypC,Neha Reddy,neha.reddy48@example.com,+919501649877,4999,NETWORK_TIMEOUT,1,True,RECOVERED,2026-08-19 09:16:00
pay_PxSpdQhDtkzRG7,sub_54TXtShO68sxNo,inv_o9iEjDVMxASJ6E,Pooja Rao,pooja.rao97@example.com,+919559003646,499,INSUFFICIENT_FUNDS,0,True,EXHAUSTED,2026-08-17 16:33:00
pay_Txe6Khd1J5GmKI,sub_jku2HChRnTLFf5,inv_GCZdDiGADKdJDR,Swati Desai,swati.desai12@example.com,+918700586760,1499,INSUFFICIENT_FUNDS,0,True,EXHAUSTED,2026-08-01 20:13:00
